player_id,name,role, Goals Conceded, Minutes played, Punches,Saves,Throws,Passes,Accurate Passes,Key Passes,goals,assists,chances_created,total_shots,shot_on_target,crosses,long_balls,touches,aerials_won,aerials_lost,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_won,duels_lost,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
848011,Joshua Sargent,Attacker,,76,,,,24,16,0,0,0,0,1,0,0,0,33,0,5,0,0,1,1,5,8,3,0,2,0,0,4,0,1,1,,5.7
166449,Yuya Osako,Attacker,,86,,,,18,14,1,0,0,0,3,2,2,1,31,3,2,0,0,1,0,5,8,1,0,2,1,0,1,0,1,,,6
359312,Niko Giesselmann,Defender,,24,,,,27,25,0,0,0,0,0,0,1,0,30,2,0,0,0,1,0,2,2,1,0,3,0,0,0,1,0,,,6.1
239946,Alfredo Morales,Midfielder,,24,,,,22,19,1,0,0,0,0,0,0,1,25,5,2,0,0,0,0,6,2,0,0,4,0,0,2,1,0,,,6.5
488564,Jean Zimmer,Midfielder,,24,,,,18,14,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,6
1080171,Kelvin Ofori,Midfielder,,24,,,,14,13,0,0,0,0,1,0,0,0,20,1,1,0,0,3,0,1,4,0,0,2,0,0,0,1,0,,,5.7
502543,Dawid Kownacki,Attacker,,7,,,,1,1,0,0,0,0,0,0,0,0,5,0,4,0,0,1,0,0,5,1,0,0,0,0,0,1,0,,,
1032824,Florian Kastenmeier,Keeper,2,90,0,1,3,22,18,0,,,,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,5.3
441164,Kaan Ayhan,Defender,,90,,,,89,83,3,0,0,0,1,0,5,11,103,1,2,1,0,0,0,2,3,1,1,7,0,0,1,0,,,,6.8
212915,Andre Hoffmann,Defender,,66,,,,55,51,0,0,0,0,0,0,0,7,61,1,1,1,0,0,0,4,4,2,0,2,1,0,2,0,1,1,,6.1
45254,Markus Suttner,Defender,,90,,,,91,84,4,0,0,0,2,0,21,18,130,0,1,2,0,1,0,2,4,2,0,3,1,1,1,0,,1,,7
27534,Adam Bodzek,Midfielder,,66,,,,40,32,0,0,0,0,1,1,0,2,47,3,0,0,0,0,0,5,2,2,1,6,0,0,2,0,1,1,,6.8
182893,Matthias Zimmermann,Defender,,66,,,,24,17,0,0,0,0,0,0,2,2,35,0,0,0,0,0,0,3,0,0,1,1,3,3,0,0,1,,,6.8
276739,Kevin Stöger,Midfielder,,90,,,,84,72,2,0,1,1,4,0,6,9,112,1,1,0,2,3,3,7,6,2,1,6,2,1,1,0,,,,7.9
168872,Valon Berisha,Midfielder,,66,,,,38,34,2,0,0,0,2,0,1,5,49,0,0,1,0,0,0,3,1,1,2,5,2,0,1,0,1,,,7.1
519093,Erik Thommy,Attacker,,90,,,,54,50,2,0,0,1,6,0,12,1,87,0,1,0,2,4,2,7,5,0,0,6,2,1,3,0,,,,7.7
469763,Kenan Karaman,Attacker,,83,,,,11,7,1,0,0,0,1,1,2,0,18,3,1,0,0,0,0,3,1,1,0,1,0,0,0,0,1,,,6.7
27156,Rouwen Hennings,Attacker,,90,,,,20,14,0,2,0,2,7,2,3,0,35,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,,1,,8.8
304354,Janik Haberer,Midfielder,,7,,,,3,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,,,
240837,Jonathan Schmid,Midfielder,,32,,,,13,12,0,0,0,0,0,0,1,3,25,0,0,0,0,2,2,4,0,0,0,3,1,0,1,1,0,,,6.6
37042,Mike Frantz,Midfielder,,2,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,,,
433072,Chang-Hoon Kwon,Attacker,,2,,,,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
107920,Nils Petersen,Attacker,,33,,,,9,6,2,1,0,1,1,1,2,1,17,0,0,2,0,1,1,1,1,1,0,1,0,0,0,1,0,,,7.7
248437,Alexander Schwolow,Keeper,0,90,0,3,10,36,19,0,,,,0,0,0,23,53,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,,,,8.2
307209,Lukas Kübler,Defender,,58,,,,21,17,0,0,0,0,1,1,0,3,32,1,1,2,0,2,2,5,3,1,0,3,0,0,2,0,1,1,,7.3
643724,Philipp Lienhart,Defender,,90,,,,45,36,0,0,0,0,0,0,0,8,57,2,3,6,0,0,0,4,3,0,2,3,0,0,2,0,,,,7.1
303800,Dominique Heintz,Defender,,90,,,,38,32,0,0,0,0,0,0,0,5,49,1,0,6,0,1,1,2,0,0,3,5,0,0,0,0,,,,7.4
355358,Christian Günter,Midfielder,,90,,,,34,22,5,0,0,1,1,0,5,2,61,0,0,1,0,2,1,3,1,0,0,2,0,0,2,0,,,,7.8
583601,Roland Sallai,Midfielder,,57,,,,13,7,1,0,0,0,0,0,3,1,25,0,0,0,0,1,0,0,3,1,1,6,0,0,0,0,1,,,6.2
628201,Robin Koch,Defender,,90,,,,31,22,0,0,0,0,3,2,0,4,47,2,3,2,1,0,0,5,6,2,1,5,2,0,1,0,,1,,6.7
212865,Nicolas Höfler,Midfielder,,90,,,,37,30,1,0,0,0,0,0,0,2,55,3,1,2,0,1,1,9,5,2,4,8,3,3,2,0,,1,,7.7
